     n, heap_cmp, heap_swaps, heap_time
 70928,  5522036,    1080353,      7531
 70929,  5522378,    1080406,      7645
 70930,  5521984,    1080263,      7626
 70931,  5522624,    1080485,      7459
 70932,  5522723,    1080483,      8442
 70933,  5522964,    1080528,      7593
 70934,  5523020,    1080530,      8346
 70935,  5523215,    1080548,      7502
 70936,  5523261,    1080546,      8942
 70937,  5522886,    1080455,      7592
 70938,  5523247,    1080583,      8263
 70939,  5523782,    1080700,      7516
 70940,  5524250,    1080829,      8953
 70941,  5523492,    1080637,      8501
 70942,  5522658,    1080420,      8261
 70943,  5524638,    1080859,      7522
 70944,  5523366,    1080600,      8231
 70945,  5523819,    1080674,      7497
 70946,  5523614,    1080605,      8579
 70947,  5523926,    1080690,      7498
 70948,  5524675,    1080943,      8114
 70949,  5523694,    1080617,      7515
 70950,  5524106,    1080717,      8247
 70951,  5524318,    1080757,      7479
 70952,  5524323,    1080772,      8503
 70953,  5525181,    1080958,      7488
 70954,  5524883,    1080880,      8391
 70955,  5524309,    1080761,      7575
 70956,  5524607,    1080825,      7710
 70957,  5524658,    1080843,      8812
 70958,  5524669,    1080805,      7622
 70959,  5525287,    1081002,      7888
 70960,  5524357,    1080743,      8300
 70961,  5525249,    1080948,      8315
 70962,  5524803,    1080864,      7500
 70963,  5525408,    1080995,      9122
 70964,  5525515,    1081051,      8761
 70965,  5525053,    1080895,      7713
 70966,  5526370,    1081228,      7842
 70967,  5525245,    1080939,      8093
 70968,  5525631,    1081042,      8008
 70969,  5526342,    1081180,      8357
 70970,  5525331,    1080946,      7949
 70971,  5525912,    1081093,      8767
 70972,  5525319,    1080953,      8810
 70973,  5525758,    1081056,      8571
 70974,  5527058,    1081375,      8324
 70975,  5525982,    1081057,      7491
 70976,  5527216,    1081385,      7713
 70977,  5526441,    1081207,      8403
 70978,  5525941,    1081057,      8190
 70979,  5526465,    1081171,      7748
 70980,  5526197,    1081115,      9461
 70981,  5526897,    1081290,      7714
 70982,  5526450,    1081177,      7793
 70983,  5527780,    1081509,      7543
 70984,  5527139,    1081332,      7510
 70985,  5527262,    1081379,      9437
 70986,  5526783,    1081223,      7487
 70987,  5527745,    1081457,      8545
 70988,  5528048,    1081544,      7574
 70989,  5527913,    1081542,      7774
 70990,  5527831,    1081509,      7557
 70991,  5527536,    1081385,      9112
 70992,  5527301,    1081309,      7867
 70993,  5528144,    1081588,      7849
 70994,  5527295,    1081316,      9020
 70995,  5527627,    1081416,      9417
 70996,  5528182,    1081515,     11161
 70997,  5527994,    1081501,      7752
 70998,  5527958,    1081477,      8500
 70999,  5529142,    1081769,      9415
 71000,  5528983,    1081731,      7782
 71001,  5528262,    1081520,      8954
 71002,  5528637,    1081627,      8274
 71003,  5529202,    1081742,      8126
 71004,  5527986,    1081418,      9704
 71005,  5529320,    1081772,      8548
 71006,  5529662,    1081887,      8063
 71007,  5529809,    1081904,      8597
 71008,  5528837,    1081683,      8011
 71009,  5529153,    1081755,      8979
 71010,  5529709,    1081854,      8148
 71011,  5529197,    1081740,      7540
 71012,  5529303,    1081709,      9727
 71013,  5530348,    1081998,      8033
 71014,  5529799,    1081833,      7767
 71015,  5530297,    1082019,      7924
 71016,  5530102,    1081889,      8691
 71017,  5528854,    1081595,      7523
 71018,  5530390,    1081972,      8542
 71019,  5530003,    1081898,      7491
 71020,  5529730,    1081865,      9509
 71021,  5530124,    1081916,      7505
 71022,  5530301,    1081931,      9274
 71023,  5529961,    1081869,      7511
 71024,  5530032,    1081862,      8817
 71025,  5530895,    1082085,      7549
 71026,  5531126,    1082120,      8576
 71027,  5531378,    1082233,      8129
 71028,  5531060,    1082161,      9228
 71029,  5531253,    1082149,      7876
 71030,  5531149,    1082120,      9084
 71031,  5531057,    1082072,      7523
 71032,  5530238,    1081909,      8477
 71033,  5531234,    1082132,      8431
 71034,  5531570,    1082243,      9491
 71035,  5531372,    1082158,      8683
 71036,  5531625,    1082197,      8271
 71037,  5531654,    1082236,      7543
 71038,  5531969,    1082320,      9814
 71039,  5531562,    1082204,      7675
 71040,  5532089,    1082289,      9474
 71041,  5532565,    1082399,      7801
 71042,  5532261,    1082310,      8573
 71043,  5531872,    1082218,     10647
 71044,  5532136,    1082259,      8382
 71045,  5533177,    1082541,      8227
 71046,  5532571,    1082470,      7740
 71047,  5532685,    1082431,      7648
 71048,  5532349,    1082345,      8397
 71049,  5532808,    1082457,      9843
 71050,  5533086,    1082517,      8494
 71051,  5532798,    1082421,      9568
 71052,  5533079,    1082484,      9790
 71053,  5532926,    1082474,     10450
 71054,  5532926,    1082505,      9034
 71055,  5532604,    1082349,      9309
 71056,  5533522,    1082573,      9309
 71057,  5533352,    1082561,     13705
 71058,  5534122,    1082739,      7967
 71059,  5533086,    1082472,      7736
 71060,  5533119,    1082469,      7519
 71061,  5533411,    1082541,      7504
 71062,  5534890,    1082958,      8826
